1.png,2
10.png,2
100.png,3
11.png,1
12.png,1
13.png,2
14.png,2
15.png,2
16.png,3
17.png,3
18.png,2
19.png,1
2.png,1
20.png,1
21.png,2
22.png,3
23.png,5
24.png,3
25.png,1
26.png,5
27.png,1
28.png,2
29.png,1
3.png,2
30.png,1
31.png,1
32.png,3
33.png,5
34.png,1
35.png,1
36.png,2
37.png,2
38.png,1
39.png,1
4.png,1
40.png,2
41.png,1
42.png,5
43.png,1
44.png,1
45.png,1
46.png,1
47.png,1
48.png,1
49.png,1
5.png,1
50.png,1
51.png,4
52.png,1
53.png,3
54.png,4
55.png,4
56.png,3
57.png,3
58.png,4
59.png,3
6.png,1
60.png,3
61.png,1
62.png,1
63.png,4
64.png,1
65.png,4
66.png,3
67.png,3
68.png,4
69.png,4
7.png,1
70.png,1
71.png,1
72.png,1
73.png,4
74.png,3
75.png,3
76.png,4
77.png,3
78.png,1
79.png,1
8.png,1
80.png,3
81.png,3
82.png,3
83.png,1
84.png,1
85.png,3
86.png,4
87.png,3
88.png,3
89.png,1
9.png,1
90.png,1
91.png,4
92.png,3
93.png,4
94.png,1
95.png,4
96.png,3
97.png,3
98.png,3
99.png,3
