0.7547169811320755
1038.png,4
956.png,2
927.png,3
1061.png,5
1025.png,3
1035.png,5
965.png,1
1040.png,1
1073.png,1
1088.png,3
1045.png,4
966.png,3
1096.png,1
1001.png,2
1078.png,5
1026.png,1
972.png,3
1089.png,3
986.png,5
1032.png,2
1057.png,2
1007.png,4
1102.png,3
1041.png,2
955.png,1
1051.png,5
1101.png,3
987.png,1
1091.png,0
1066.png,3
1027.png,1
969.png,2
1059.png,1
1030.png,3
1077.png,5
949.png,5
1029.png,1
994.png,3
979.png,5
1006.png,4
1015.png,2
953.png,1
962.png,5
963.png,1
948.png,3
1083.png,4
971.png,3
1013.png,3
1010.png,5
1067.png,1
1053.png,1
1019.png,3
1071.png,3
1044.png,3
946.png,5
1082.png,2
1042.png,1
1021.png,1
1037.png,2
926.png,3
984.png,3
975.png,5
1092.png,2
1011.png,1
967.png,1
970.png,3
1056.png,3
1017.png,1
1002.png,1
944.png,5
981.png,2
977.png,4
1000.png,3
1034.png,2
945.png,4
974.png,3
951.png,4
924.png,4
1063.png,1
958.png,1
1104.png,1
1050.png,3
923.png,2
1097.png,1
995.png,3
1039.png,1
973.png,3
1055.png,2
1079.png,4
943.png,5
1070.png,2
937.png,3
941.png,1
961.png,3
933.png,5
1003.png,3
1009.png,5
1075.png,1
999.png,1
976.png,1
1048.png,3
1081.png,2
990.png,4
950.png,0
1018.png,4
932.png,1
980.png,3
1005.png,1
936.png,4
1028.png,1
938.png,4
1024.png,5
1052.png,5
968.png,4
960.png,1
1074.png,1
935.png,2
1058.png,4
929.png,3
954.png,2
988.png,5
1020.png,2
1090.png,5
992.png,3
1069.png,3
1016.png,2
996.png,2
957.png,2
1085.png,1
1012.png,4
1043.png,2
1099.png,3
1103.png,3
998.png,1
1054.png,1
1093.png,1
1004.png,1
1046.png,1
959.png,4
997.png,3
928.png,2
1014.png,3
934.png,2
1076.png,3
1062.png,2
1084.png,3
1022.png,4
1072.png,1
1008.png,4
930.png,4
