0.92
1037.png,-1
949.png,-1
955.png,-1
1048.png,1
926.png,1
1004.png,-1
1098.png,1
1087.png,-1
953.png,-1
1097.png,-1
935.png,-1
1092.png,-1
1009.png,-1
925.png,-1
938.png,-1
995.png,-1
1022.png,1
978.png,1
951.png,1
928.png,-1
1067.png,1
1043.png,-1
1027.png,-1
1013.png,-1
1008.png,1
1084.png,1
1095.png,-1
1058.png,1
1039.png,1
975.png,-1
1020.png,-1
973.png,1
1047.png,-1
1073.png,1
990.png,-1
942.png,1
1005.png,1
1069.png,1
922.png,-1
1034.png,-1
963.png,1
1085.png,1
999.png,1
1076.png,1
945.png,1
1053.png,-1
1101.png,-1
921.png,-1
1014.png,-1
1086.png,1
957.png,-1
959.png,1
1089.png,1
936.png,1
1019.png,1
1075.png,-1
1050.png,1
1041.png,-1
988.png,-1
1103.png,1
966.png,1
987.png,1
1078.png,1
934.png,-1
1071.png,-1
947.png,-1
1083.png,1
1082.png,-1
1011.png,1
943.png,-1
1057.png,-1
954.png,-1
1025.png,1
1104.png,-1
964.png,-1
1032.png,-1
961.png,1
937.png,1
976.png,-1
986.png,-1
1051.png,-1
1079.png,-1
1002.png,-1
1035.png,-1
1054.png,-1
981.png,-1
1021.png,1
1018.png,1
944.png,-1
1096.png,1
1000.png,-1
1006.png,1
1049.png,-1
1093.png,-1
1090.png,-1
1062.png,-1
1070.png,-1
1059.png,-1
960.png,1
1045.png,1
1091.png,1
1030.png,-1
1052.png,1
1055.png,-1
930.png,-1
1007.png,-1
1001.png,-1
933.png,-1
941.png,-1
971.png,-1
958.png,-1
1074.png,-1
1015.png,-1
932.png,1
1012.png,1
962.png,-1
1010.png,-1
1023.png,-1
969.png,-1
1088.png,1
977.png,1
972.png,1
1063.png,-1
948.png,-1
946.png,-1
1026.png,1
1003.png,-1
1040.png,-1
1060.png,-1
1099.png,1
1024.png,-1
1066.png,-1
996.png,-1
1061.png,-1
993.png,1
984.png,-1
940.png,-1
997.png,-1
1033.png,-1
924.png,1
1056.png,1
1017.png,-1
1028.png,-1
994.png,-1
980.png,-1
1016.png,-1
998.png,-1
992.png,1
968.png,1
979.png,-1
