0.77
1039.png,-1
935.png,1
1091.png,-1
1021.png,-1
977.png,-1
1087.png,1
1079.png,-1
1093.png,1
951.png,-1
1004.png,1
970.png,-1
974.png,-1
960.png,-1
1089.png,-1
990.png,1
995.png,1
1046.png,1
1009.png,1
980.png,1
1047.png,1
1068.png,1
1101.png,-1
1084.png,-1
971.png,1
1083.png,-1
1030.png,1
1082.png,1
991.png,-1
1018.png,-1
940.png,1
998.png,1
933.png,1
921.png,1
958.png,1
1067.png,-1
988.png,1
944.png,1
1075.png,1
1012.png,-1
981.png,1
945.png,-1
1022.png,-1
1008.png,-1
1071.png,1
1015.png,1
1026.png,-1
948.png,-1
993.png,-1
943.png,1
1048.png,1
979.png,1
969.png,1
1011.png,-1
1003.png,1
941.png,1
1070.png,1
986.png,1
1054.png,1
923.png,1
1020.png,1
1088.png,-1
1017.png,1
928.png,1
1029.png,1
924.png,-1
929.png,-1
925.png,1
1014.png,1
1041.png,1
978.png,-1
953.png,1
999.png,-1
961.png,-1
1052.png,1
1024.png,1
922.png,1
1098.png,-1
976.png,1
1104.png,1
996.png,1
949.png,1
1096.png,-1
959.png,-1
954.png,1
1072.png,1
1044.png,-1
1097.png,1
1050.png,1
997.png,1
1019.png,1
1037.png,1
1034.png,1
1053.png,1
1025.png,-1
964.png,-1
1095.png,1
1043.png,1
1102.png,1
965.png,1
1073.png,-1
